Customer ID,Time of Bet,Live Bet,Sport,Competition,Region,Teams Involved,Type of Bet
823794,2024-11-12 07:56:00,False,Soccer,Champions League,Champions League,Bayern Munich - Paris Saint Germain,Full Time Result - PRELIVE
57107,2024-12-14 11:41:00,True,Soccer,League One,England,Exeter - Bristol Rovers,Full Time Result - LIVE
14185,2024-10-13 19:46:00,False,Basketball,NBA,NBA,GS Warriors - MIN Timberwolves,Handicap Additional
903234,2024-10-19 23:47:00,False,Basketball,Euroleague,Euroleague ,Maccabi Tel-Aviv - FC Barcelona ,Player Over/Under Rebounds
611143,2024-11-03 04:36:00,False,Soccer,Southern Premier League - Central,England,Royston Town FC - Sudbury,Goals Over/Under - PRELIVE
320901,2024-10-29 00:10:00,False,Soccer,Primeira Liga,Portugal,SC Braga - Famalicao,Corners Over/Under
842090,2024-10-10 19:46:00,True,Soccer,A-League,Australia,Auckland FC - Newcastle Jets FC,1st Half - Goals Over/Under
291252,2024-11-28 21:51:00,True,Soccer,LaLiga,Spain,Valencia - Rayo Vallecano,Full Time Result - PRELIVE
349695,2024-10-16 21:39:00,False,Soccer,Europa League,Europa League,FC Porto - Midtjylland,Double Chance
930691,2024-10-21 23:11:00,True,Soccer,Liga 3,Indonesia,Persekabras Pasuruan - Waanal Brothers FC,Goals Over/Under - LIVE
131456,2025-01-02 08:31:00,False,Soccer,Champions League,Champions League,RB Leipzig - Aston Villa,Goals Over/Under - PRELIVE
14185,2024-11-02 10:38:00,False,Soccer,Eredivisie,Netherlands,Feyenoord - Fortuna Sittard,Goals Over/Under - PRELIVE
378892,2024-12-18 19:53:00,False,Soccer,Championship,England,Sheffield Utd - Burnley,Full Time Result - PRELIVE
930691,2024-11-13 23:31:00,False,Soccer,Oberliga,Germany,SV Hemelingen - FC Oberneuland,Full Time Result - PRELIVE
872973,2024-10-10 08:37:00,False,Soccer,Cup,Greece,Olympiacos - Kallithea,Full Time Result - PRELIVE
353117,2024-10-09 22:12:00,False,Soccer,National League,England,Solihull - Aldershot,Double Chance
891897,2024-12-03 17:36:00,False,Soccer,Liga de Futbol Profesional,Bolivia,Independiente Petrolero - Blooming Santa Cruz,Goals Over/Under - PRELIVE
880268,2024-11-04 03:26:00,True,Soccer,Champions League,Champions League,SK Sturm Graz - Girona,Full Time Result - LIVE
592561,2024-11-20 02:07:00,False,Soccer,Serie C,Italy,Sef Torres Calcio - Lucchese,Full Time Result - PRELIVE
63843,2024-12-10 01:02:00,False,Soccer,Campeonato Paraense U20,Brazil,Tuna Luso PA U20  - Remo PA U20,Full Time Result - PRELIVE
149315,2024-12-06 01:12:00,True,Soccer,Primera Division,El Salvador,Aguila - CD Fas,Full Time Result - LIVE
880268,2024-10-05 09:46:00,False,Basketball,NBA,NBA,MIN Timberwolves - GS Warriors,Player Over/Under Points 
293817,2024-10-20 21:21:00,True,Soccer,Prva NL,Croatia,HNK Orijent 1919 - HNK Cibalia Vinkovci,Goals Over/Under - LIVE
903170,2025-01-18 10:34:00,False,Soccer,Serie A,Italy,Empoli - Udinese Calcio,Full Time Result - PRELIVE
944671,2024-12-22 11:02:00,False,Soccer,Ligue 2,France,Martigues - Laval,Full Time Result - PRELIVE
159281,2024-11-19 08:52:00,True,Soccer,QSL Cup,Qatar,Al Duhail - Al-Arabi Doha,Asian Goals Over/Under
300431,2024-11-08 11:07:00,False,Soccer,LaLiga,Spain,Leganes - Real Madrid,Goals Over/Under - PRELIVE
581511,2024-11-30 14:56:00,False,Soccer,Bundesliga,Germany,Borussia Dortmund - Bayern Munich,Anytime Correct Score
184030,2024-11-26 17:21:00,False,Soccer,Ligue 1,France,Auxerre - Angers,Double Chance & Goals Over/Under
263793,2024-12-01 13:48:00,True,Soccer,Champions League,Champions League,Bologna - Lille OSC,Away Over/Under
87287,2024-11-23 21:29:00,False,Basketball,Euroleague,Euroleague ,Panathinaikos - AS Monaco,Player Over/Under 3P Made
581511,2024-11-12 13:15:00,False,Soccer,Serie A,Italy,Napoli - Lazio,Double Chance & Goals Over/Under
54766,2024-11-15 13:48:00,False,Soccer,Eredivisie,Netherlands,PSV Eindhoven - Twente,Home Over/Under
230905,2025-01-02 11:28:00,True,Soccer,Conference League,Conference League,Mlada Boleslav - Betis,Goals Over/Under - LIVE
46365,2024-11-25 05:04:00,True,Soccer,Professionnelle Ligue 2,Tunisia,ES Rades - Avenir S Marsa,Goals Over/Under - LIVE
941497,2024-11-15 14:41:00,False,Soccer,LaLiga,Spain,Betis - Barcelona,Full Time Result - 0%
878170,2024-12-12 09:46:00,True,Soccer,Super League 1,Greece,OFI - Olympiacos,1st Half - Goals Over/Under
638073,2024-12-29 13:12:00,False,Soccer,Liga Profesional,Argentina,Estudiantes de La Plata - Argentinos Juniors,Full Time Result - PRELIVE
102299,2024-10-17 19:51:00,False,Basketball,NBA,NBA,LA Lakers - OKC Thunder,Player Over/Under Assists
131456,2024-12-29 04:50:00,True,Soccer, Liga Profesional,Argentina,CA Sarmiento - CA Platense,Goals Over/Under - LIVE
737548,2024-12-12 04:39:00,False,Soccer,Europa League,Europa League,Rangers - Tottenham,1st Half - Corners Over/Under
150659,2024-10-07 05:29:00,True,Soccer,Premier League,England,Aston Villa - Manchester City,Goals Over/Under - LIVE
272359,2024-12-15 12:50:00,False,Soccer,Ligue 1,France,St. Etienne - Marseille,Goals Over/Under - PRELIVE
553541,2024-11-25 22:55:00,False,Soccer,LaLiga,Spain,Espanyol - Valencia,Goals Over/Under - PRELIVE
131091,2024-10-17 16:38:00,False,Soccer,Champions League,Champions League,VfB Stuttgart - Young Boys,Full Time Result - 0%
57107,2024-10-27 12:31:00,False,Soccer,Europa League,Europa League,Malmo - Galatasaray,1st Half - Away Goals Over/Under 
823794,2025-01-06 19:26:00,True,Soccer,KNVB Beker,Netherlands,De Graafschap - Sparta Nijkerk,Goals Over/Under - LIVE
891897,2024-10-20 16:28:00,False,Soccer,Serie A,Italy,Parma - Monza,Both Teams to Score
291252,2024-11-14 04:54:00,False,Soccer,Champions League,Champions League,Aston Villa - Juventus,"Both Teams to Score or Over 2,5"
46365,2025-01-16 03:39:00,True,Soccer,GT League (2x6 mins),Еsoccer,FC Barcelona (Klaus) Esports - Athletic Bilbao (Carlos) Esports,Goals Over/Under - LIVE
9155,2024-12-26 02:09:00,False,Soccer,Premier League,England,Manchester United - Nottingham Forest,Full Time Result - 0%
986589,2024-12-15 11:56:00,True,Soccer,Premier League,Thailand,Lamphun Warrior - Prachuap FC,Full Time Result - LIVE
14185,2024-11-13 22:31:00,False,Soccer,Super League 1,Greece,Asteras Tripolis - Aris Thessaloniki,Full Time Result - 0%
937148,2024-12-30 10:53:00,True,Soccer,GT League (2x6 mins),Еsoccer,FC Inter Milano (Banega) Esports - SS Lazio (Molotov) Esports,Goals Over/Under - LIVE
95375,2024-11-10 07:32:00,True,Soccer,DFB Pokal,Germany,RB Leipzig - Eintracht Frankfurt,1st Half - Goals Over/Under
149315,2024-11-29 12:13:00,False,Basketball,NBA,NBA,MEM Grizzlies - IND Pacers,Player Over/Under Points 
717815,2024-10-07 13:42:00,False,Soccer,Champions League,Champions League,Atletico Madrid - Slovan Bratislava,Goals Over/Under - PRELIVE
272359,2024-10-29 00:53:00,False,Soccer,Premier League,England,Newcastle - West Ham,Away Over/Under
620872,2025-01-02 22:52:00,True,Soccer,LaLiga,Spain,Atletico Madrid - Alaves,Full Time Result - LIVE
150793,2024-10-03 04:31:00,False,Basketball,Euroleague,Euroleague ,Fenerbahce - Olimpia Milano,Over/Under Additional
903234,2024-12-24 03:31:00,False,Soccer,Premier League,England,Brentford - Nottingham Forest,Both Teams to Score
810353,2024-10-22 22:32:00,True,Soccer,Bundesliga,Germany,Union Berlin - Bochum,Full Time Result - LIVE
755817,2025-01-17 13:23:00,False,Soccer,Challenge Cup,Scotland,Queens Park - Glasgow Rangers FC ΙΙ,Full Time Result - PRELIVE
291252,2024-12-22 11:13:00,False,Basketball,NBA,NBA,PHX Suns - NY Knicks,Player Over/Under Points 
9155,2025-01-07 15:08:00,False,Basketball,NBA,NBA,CLE Cavaliers - PHI 76ers,Player Over/Under Assists
338431,2024-10-07 06:22:00,False,Soccer,Eredivisie Reserves,Netherlands,Feyenoord U21 - ADO Den Haag U21,Halftime/Fulltime - PRELIVE
278634,2024-11-15 11:39:00,False,Soccer,LaLiga,Spain,Celta Vigo - Barcelona,Full Time Result - 0%
102299,2024-11-23 15:12:00,True,Soccer,2. Bundesliga,Germany,Kaiserslautern - Eintracht Braunschweig,1st Half - Goals Over/Under
